equipment_type,part_category,lead_time,lead_time_variability,supplier_count,supplier_reliability,supplier_dependency,stock_level,safety_stock,reorder_point,demand_rate,demand_variability,failure_rate,MTBF,MTTR,equipment_criticality,part_criticality,transport_delay,customs_delay,historical_stockouts,historical_downtime,riesgo_stockout,downtime_esperado_horas
Faja Transportadora,Ventilación y Flujo de Aire,82.7,17.1,1,0.698,1.0,3,3,8,2.36,0.59,0.0192,1252.1,20.5,3,3,3.7,4.7,1,19.9,0,9.1
Perforadora Long Hole,Perforación y Rotación,141.7,21.0,1,0.65,1.0,3,1,9,2.39,1.09,0.0454,528.3,9.2,2,2,9.4,11.7,1,68.3,1,64.0
Scooptram (LHD),Transmisión y Tren de Potencia,99.5,11.9,1,0.685,1.0,1,1,4,1.47,0.58,0.0219,1093.5,12.2,2,2,9.3,0.5,0,0.0,1,34.9
Scooptram (LHD),Electrónica y Control ECM,66.5,17.8,1,0.793,1.0,2,1,3,1.14,0.43,0.0176,1363.6,14.3,2,3,5.2,2.2,0,0.0,0,6.6
Scooptram (LHD),Hidráulica de Alta Presión,133.4,23.9,3,0.963,0.598,6,3,7,1.16,0.57,0.0122,1800.0,17.8,2,3,1.4,7.5,1,51.4,0,14.1
Jumbo de Perforación,Hidráulica de Alta Presión,72.1,11.4,2,0.833,0.727,3,2,4,1.11,0.24,0.0095,1800.0,14.4,2,3,0.6,10.2,4,135.4,0,2.0
Ventilador Axial Principal,Hidráulica de Alta Presión,73.5,14.3,1,0.65,1.0,2,2,4,1.41,0.43,0.02,1199.4,25.2,3,3,0.4,2.9,1,56.5,0,2.8
Jumbo de Perforación,Hidráulica de Alta Presión,167.0,41.5,1,0.813,1.0,8,1,11,2.45,1.11,0.0536,447.7,23.6,2,3,6.6,2.1,1,68.7,1,71.2
Jumbo de Perforación,Hidráulica de Alta Presión,72.4,19.4,3,0.909,0.64,6,0,7,4.26,1.8,0.0575,417.6,19.8,2,3,0.4,12.3,2,137.8,0,0.8
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,48.9,12.8,1,0.705,1.0,3,1,3,2.19,0.46,0.0123,1800.0,15.9,3,3,2.6,6.2,1,15.8,0,7.7
Scooptram (LHD),Hidráulica de Alta Presión,136.8,43.2,3,0.884,0.869,7,2,7,1.47,0.34,0.024,1001.3,14.4,2,3,3.9,1.7,6,217.5,0,7.1
Jumbo de Perforación,Perforación y Rotación,98.9,15.3,1,0.909,1.0,4,0,8,3.49,0.84,0.0412,582.4,25.8,2,2,1.6,0.3,2,34.6,1,38.6
Jumbo de Perforación,Hidráulica de Alta Presión,101.9,26.4,2,0.91,0.91,4,0,3,1.29,0.36,0.0666,360.5,12.7,2,3,18.6,4.7,0,0.0,0,6.1
Ventilador Axial Principal,Ventilación y Flujo de Aire,98.5,12.3,1,0.806,1.0,2,1,3,0.92,0.33,0.0878,273.4,16.5,3,3,2.8,2.3,1,23.2,1,45.0
Shovel / Pala,Hidráulica de Alta Presión,119.3,28.3,1,0.818,1.0,2,1,3,0.8,0.25,0.0428,560.3,9.1,3,3,5.9,7.2,1,41.8,0,6.9
Scooptram (LHD),Perforación y Rotación,84.5,20.8,1,0.65,1.0,3,1,5,2.12,0.85,0.0591,406.3,16.7,2,2,6.0,2.5,0,0.0,1,28.5
Ventilador Axial Principal,Perforación y Rotación,184.4,28.4,2,0.967,0.871,2,1,11,2.28,0.81,0.0121,1800.0,24.4,3,2,1.5,1.3,1,22.2,1,76.8
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,65.6,13.0,1,0.871,1.0,5,0,8,5.29,2.31,0.0149,1612.0,14.0,3,3,10.0,3.7,1,74.9,0,7.7
Scooptram (LHD),Ventilación y Flujo de Aire,128.5,39.4,2,0.77,0.88,7,2,11,2.93,1.34,0.09,266.7,30.1,2,3,0.7,2.3,5,205.0,1,45.7
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,137.7,18.9,1,0.775,1.0,7,1,9,2.38,0.98,0.0424,566.5,25.3,3,3,0.9,19.8,3,78.3,1,99.7
Scooptram (LHD),Perforación y Rotación,84.3,17.6,1,0.745,1.0,2,0,2,0.87,0.37,0.0493,486.6,13.4,2,2,8.7,5.5,2,138.7,0,2.8
Scooptram (LHD),Desagüe y Bombeo de Relaves,76.9,25.6,2,0.957,0.866,0,1,1,0.2,0.04,0.0106,1800.0,11.6,2,3,2.3,3.3,0,0.0,0,0.4
Faja Transportadora,Perforación y Rotación,157.0,35.5,1,0.892,1.0,3,2,3,0.2,0.08,0.0159,1512.2,14.0,3,2,7.7,4.0,2,132.1,0,0.1
Faja Transportadora,Ventilación y Flujo de Aire,77.8,21.9,1,0.836,1.0,6,2,5,1.43,0.39,0.0411,584.3,16.1,3,3,0.7,14.5,4,297.5,0,2.4
Perforadora Long Hole,Transmisión y Tren de Potencia,89.0,27.3,1,0.887,1.0,2,1,4,1.63,0.61,0.0533,450.5,12.2,2,2,2.8,8.1,2,34.6,0,2.3
Jumbo de Perforación,Perforación y Rotación,150.1,22.7,2,0.954,0.649,4,1,14,3.66,1.01,0.0372,645.9,27.4,2,2,8.2,10.2,0,0.0,1,72.1
Scooptram (LHD),Transmisión y Tren de Potencia,111.3,17.2,3,0.889,0.553,7,1,6,1.86,0.31,0.0435,551.9,19.9,2,2,2.9,1.3,1,46.7,0,2.2
Bomba de Desagüe Multietapa,Electrónica y Control ECM,58.6,17.0,2,0.836,0.708,3,2,3,0.64,0.1,0.0396,605.9,18.7,3,3,9.9,1.4,0,0.0,0,6.1
Jumbo de Perforación,Hidráulica de Alta Presión,202.7,58.5,1,0.7,1.0,4,0,8,1.66,0.64,0.0466,515.0,20.4,2,3,6.2,19.6,2,148.0,1,89.7
Scooptram (LHD),Perforación y Rotación,91.4,10.5,1,0.77,1.0,8,2,11,4.22,1.3,0.0574,418.2,11.7,2,2,0.1,3.3,2,78.2,0,0.0
Ventilador Axial Principal,Hidráulica de Alta Presión,95.5,17.3,1,0.814,1.0,4,1,3,0.84,0.24,0.0489,490.9,15.8,3,3,3.4,11.6,2,105.6,0,1.9
Scooptram (LHD),Hidráulica de Alta Presión,120.3,24.0,1,0.894,1.0,6,0,8,2.9,1.32,0.0429,559.5,21.3,2,3,0.5,9.0,1,70.3,1,51.8
Compresor Estacionario,Electrónica y Control ECM,136.9,42.1,1,0.687,1.0,5,2,8,1.89,0.41,0.0635,378.2,13.6,1,3,1.7,3.2,1,29.2,0,0.3
Jumbo de Perforación,Desagüe y Bombeo de Relaves,218.5,44.9,1,0.712,1.0,13,2,12,2.06,0.55,0.0581,412.7,21.3,2,3,6.4,1.4,0,0.0,1,66.6
Bomba de Desagüe Multietapa,Electrónica y Control ECM,61.5,20.4,1,0.658,1.0,2,0,2,1.15,0.46,0.0065,1800.0,21.0,3,3,1.5,4.6,0,0.0,0,1.6
Jumbo de Perforación,Hidráulica de Alta Presión,146.9,51.3,1,0.795,1.0,3,1,5,1.24,0.43,0.0265,905.6,21.3,2,3,1.5,1.7,2,77.7,1,41.8
Ventilador Axial Principal,Hidráulica de Alta Presión,142.7,42.1,1,0.823,1.0,7,0,14,4.22,1.01,0.0651,368.7,20.1,3,3,0.0,0.3,2,58.3,1,57.1
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,104.8,28.0,1,0.747,1.0,3,1,2,0.27,0.08,0.014,1717.2,18.3,3,3,0.7,16.3,1,37.1,0,2.9
Scooptram (LHD),Perforación y Rotación,144.9,28.7,1,0.874,1.0,1,1,2,0.33,0.13,0.0372,644.7,18.0,2,2,1.9,3.1,2,111.2,0,1.8
Faja Transportadora,Desagüe y Bombeo de Relaves,152.5,17.8,2,0.854,0.899,2,3,5,0.54,0.24,0.0283,848.6,20.7,3,3,8.4,7.1,1,64.5,0,0.3
Shovel / Pala,Transmisión y Tren de Potencia,67.8,16.5,1,0.896,1.0,4,2,5,1.68,0.46,0.0398,603.6,23.2,3,2,1.5,5.8,3,100.8,0,2.8
Compresor Estacionario,Perforación y Rotación,202.9,38.6,1,0.866,1.0,9,0,10,2.15,1.0,0.012,1800.0,10.5,1,2,1.7,0.3,1,42.1,1,37.3
Compresor Estacionario,Transmisión y Tren de Potencia,63.7,12.0,1,0.851,1.0,3,2,4,1.4,0.4,0.0301,797.7,23.2,1,2,0.4,6.3,1,26.9,0,2.4
Bomba de Desagüe Multietapa,Electrónica y Control ECM,73.9,20.1,2,0.952,0.758,1,0,2,1.4,0.49,0.022,1090.2,11.3,3,3,2.1,7.5,1,65.2,0,2.7
Compresor Estacionario,Transmisión y Tren de Potencia,100.4,21.7,2,0.78,0.596,0,2,3,0.34,0.14,0.0208,1152.8,21.0,1,2,1.2,0.4,3,123.8,0,4.8
Scooptram (LHD),Transmisión y Tren de Potencia,215.8,62.1,1,0.812,1.0,5,1,5,0.71,0.32,0.0313,767.9,20.0,2,2,0.7,1.8,0,0.0,1,57.7
Scooptram (LHD),Desagüe y Bombeo de Relaves,98.7,19.7,2,0.888,0.877,8,1,4,1.45,0.36,0.0192,1246.9,18.7,2,3,2.5,13.3,2,135.1,0,2.4
Scooptram (LHD),Electrónica y Control ECM,108.8,15.0,2,0.899,0.744,4,2,8,2.23,0.74,0.013,1800.0,12.7,2,3,6.1,7.6,2,135.0,0,2.3
Jumbo de Perforación,Transmisión y Tren de Potencia,181.6,39.1,2,0.927,0.636,0,1,2,0.2,0.08,0.0053,1800.0,16.6,2,2,4.4,19.2,0,0.0,1,79.1
Jumbo de Perforación,Hidráulica de Alta Presión,99.0,33.4,3,0.963,0.666,9,0,7,2.92,1.07,0.0478,502.3,23.0,2,3,14.6,4.4,3,132.3,0,1.8
Jumbo de Perforación,Hidráulica de Alta Presión,72.8,21.9,3,0.804,0.691,3,1,2,0.44,0.2,0.054,444.8,18.7,2,3,2.4,0.6,3,116.2,0,6.7
Perforadora Long Hole,Electrónica y Control ECM,95.1,14.4,1,0.65,1.0,1,1,1,0.2,0.04,0.0095,1800.0,16.9,2,3,9.0,3.1,0,0.0,0,2.0
Jumbo de Perforación,Hidráulica de Alta Presión,177.7,35.2,1,0.878,1.0,8,2,6,1.04,0.48,0.005,1800.0,22.3,2,3,5.2,2.2,1,45.3,0,2.0
Jumbo de Perforación,Hidráulica de Alta Presión,112.8,37.4,2,0.877,0.752,3,2,3,0.2,0.07,0.0111,1800.0,19.1,2,3,2.9,4.9,1,41.9,0,4.3
Ventilador Axial Principal,Ventilación y Flujo de Aire,216.2,28.3,3,0.942,0.803,2,0,1,0.26,0.13,0.0225,1065.8,17.6,3,3,4.2,0.8,1,56.6,1,103.1
Scooptram (LHD),Ventilación y Flujo de Aire,142.4,23.3,2,0.976,0.586,3,1,10,2.75,0.47,0.0331,725.7,17.0,2,3,10.3,9.2,1,68.3,1,72.3
Perforadora Long Hole,Desagüe y Bombeo de Relaves,87.8,14.5,1,0.934,1.0,3,1,4,1.3,0.49,0.0232,1033.7,14.0,2,3,3.3,12.8,3,83.6,0,3.1
Scooptram (LHD),Electrónica y Control ECM,112.0,27.2,1,0.769,1.0,1,0,1,0.21,0.03,0.0187,1281.3,15.8,2,3,0.7,1.9,0,0.0,0,3.8
Faja Transportadora,Perforación y Rotación,81.6,16.5,2,0.852,0.597,5,2,9,3.48,0.92,0.0645,372.0,17.7,3,2,0.1,3.3,3,210.9,1,41.1
Shovel / Pala,Perforación y Rotación,87.1,10.4,1,0.65,1.0,6,3,10,3.39,0.53,0.0312,768.1,22.5,3,2,1.6,4.1,0,0.0,0,3.1
Scooptram (LHD),Desagüe y Bombeo de Relaves,270.0,69.5,2,0.794,0.589,5,2,11,1.45,0.22,0.0291,823.3,23.2,2,3,1.2,1.3,1,54.6,1,68.5
Scooptram (LHD),Electrónica y Control ECM,157.1,19.6,2,0.719,0.588,7,0,3,0.94,0.34,0.0534,449.5,12.6,2,3,13.4,2.7,1,38.8,0,2.8
Perforadora Long Hole,Transmisión y Tren de Potencia,148.7,37.4,1,0.714,1.0,5,1,6,1.58,0.43,0.029,826.6,19.7,2,2,1.5,1.2,1,62.7,1,38.8
Bomba de Desagüe Multietapa,Perforación y Rotación,88.4,20.1,2,0.833,0.864,8,2,5,1.62,0.46,0.0332,723.0,19.5,3,2,3.0,4.3,2,57.8,0,2.2
Shovel / Pala,Hidráulica de Alta Presión,190.5,42.6,3,0.902,0.851,2,0,2,0.49,0.13,0.0589,407.1,11.7,3,3,7.3,0.8,0,0.0,1,85.1
Shovel / Pala,Hidráulica de Alta Presión,161.6,18.9,1,0.788,1.0,5,0,10,2.77,1.36,0.0741,323.7,16.4,3,3,7.5,7.2,1,32.4,1,91.8
Scooptram (LHD),Transmisión y Tren de Potencia,212.5,55.2,2,0.838,0.878,9,1,18,3.39,0.71,0.0683,351.4,26.9,2,2,4.8,1.4,1,43.0,1,71.1
Jumbo de Perforación,Hidráulica de Alta Presión,208.9,43.4,2,0.909,0.708,14,2,6,0.79,0.2,0.044,545.4,16.6,2,3,9.0,1.7,2,55.2,0,1.0
Scooptram (LHD),Perforación y Rotación,65.5,13.3,1,0.912,1.0,3,2,4,1.15,0.26,0.0092,1800.0,14.4,2,2,5.4,1.7,3,63.2,0,1.7
Perforadora Long Hole,Electrónica y Control ECM,74.6,18.6,1,0.903,1.0,6,1,7,3.24,1.15,0.0098,1800.0,15.3,2,3,5.5,4.2,2,34.2,0,1.8
Bomba de Desagüe Multietapa,Electrónica y Control ECM,77.4,19.5,1,0.774,1.0,1,1,3,1.18,0.46,0.0132,1800.0,16.5,3,3,0.1,22.1,2,106.6,0,11.2
Jumbo de Perforación,Ventilación y Flujo de Aire,79.1,8.2,3,0.852,0.843,2,1,2,0.44,0.18,0.0227,1058.5,16.1,2,3,3.8,21.2,0,0.0,0,2.4
Scooptram (LHD),Transmisión y Tren de Potencia,123.2,16.2,1,0.65,1.0,3,2,3,0.44,0.14,0.0195,1232.9,23.8,2,2,4.8,3.0,2,124.3,0,1.4
Jumbo de Perforación,Hidráulica de Alta Presión,90.2,14.4,1,0.65,1.0,3,2,3,0.43,0.17,0.0447,537.4,9.8,2,3,11.6,6.6,1,58.4,0,4.5
Jumbo de Perforación,Electrónica y Control ECM,227.2,61.2,1,0.652,1.0,3,1,14,2.51,1.08,0.0272,881.3,16.9,2,3,1.9,3.9,2,133.7,1,48.7
Shovel / Pala,Ventilación y Flujo de Aire,214.2,52.3,1,0.776,1.0,5,3,8,1.09,0.41,0.053,452.6,27.2,3,3,3.6,2.5,2,101.7,1,97.0
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,109.8,31.8,1,0.718,1.0,4,1,4,1.18,0.4,0.0121,1800.0,18.1,3,2,0.5,4.8,0,0.0,0,5.4
Compresor Estacionario,Desagüe y Bombeo de Relaves,218.1,62.2,2,0.829,0.88,2,0,6,1.17,0.53,0.0605,396.4,25.6,1,3,3.2,2.1,3,100.4,1,39.3
Ventilador Axial Principal,Hidráulica de Alta Presión,185.2,58.0,2,0.933,0.574,5,1,6,1.25,0.46,0.0244,982.5,12.7,3,3,1.0,1.3,0,0.0,1,89.3
Scooptram (LHD),Hidráulica de Alta Presión,93.9,18.2,2,0.793,0.687,1,1,2,0.38,0.13,0.0364,659.9,10.2,2,3,9.1,3.1,0,0.0,0,1.8
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,54.4,10.1,2,0.959,0.559,5,0,6,4.97,1.76,0.0498,481.9,27.4,3,3,4.2,1.7,1,71.1,0,2.7
Shovel / Pala,Transmisión y Tren de Potencia,101.9,31.4,2,0.822,0.715,2,1,4,1.21,0.33,0.0219,1095.6,20.6,3,2,1.2,20.6,3,129.0,0,0.4
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,87.8,14.0,1,0.848,1.0,5,0,7,3.3,1.13,0.0255,942.6,23.3,3,3,3.5,3.6,0,0.0,0,6.9
Shovel / Pala,Desagüe y Bombeo de Relaves,118.2,25.5,2,0.842,0.55,6,1,16,5.53,1.64,0.0449,535.0,14.8,3,3,2.8,8.2,0,0.0,1,71.9
Ventilador Axial Principal,Transmisión y Tren de Potencia,113.5,16.9,1,0.897,1.0,6,1,7,2.3,1.08,0.0174,1375.6,17.6,3,2,1.0,2.2,2,106.6,0,3.0
Ventilador Axial Principal,Electrónica y Control ECM,112.5,36.9,1,0.882,1.0,4,1,4,1.14,0.55,0.0581,413.2,24.2,3,3,2.9,8.4,2,130.5,0,1.2
Jumbo de Perforación,Ventilación y Flujo de Aire,132.1,26.7,1,0.726,1.0,6,2,9,2.37,0.75,0.0702,341.8,11.6,2,3,3.2,24.0,1,35.5,1,76.7
Scooptram (LHD),Hidráulica de Alta Presión,72.0,11.0,1,0.65,1.0,2,1,5,2.53,1.0,0.0227,1056.9,19.7,2,3,1.8,8.5,0,0.0,1,52.7
Scooptram (LHD),Hidráulica de Alta Presión,127.0,34.7,1,0.803,1.0,6,3,5,0.55,0.2,0.0474,506.1,24.7,2,3,0.1,3.9,1,71.2,0,1.9
Scooptram (LHD),Perforación y Rotación,94.3,15.2,1,0.896,1.0,3,1,2,0.57,0.23,0.0319,752.4,16.2,2,2,2.0,1.6,1,19.7,0,11.1
Bomba de Desagüe Multietapa,Electrónica y Control ECM,118.0,39.6,2,0.871,0.693,0,0,4,1.57,0.54,0.0526,456.4,23.6,3,3,1.9,1.8,1,43.0,1,55.6
Jumbo de Perforación,Perforación y Rotación,153.8,29.5,2,0.83,0.614,9,0,8,2.25,0.87,0.0556,431.9,14.7,2,2,5.0,5.0,1,30.1,1,48.3
Ventilador Axial Principal,Transmisión y Tren de Potencia,71.7,19.1,1,0.841,1.0,6,2,7,3.18,1.12,0.0502,478.5,21.5,3,2,0.4,4.5,2,85.0,0,0.3
Compresor Estacionario,Ventilación y Flujo de Aire,99.7,18.6,3,0.879,0.592,0,0,1,0.3,0.12,0.0322,745.1,14.7,1,3,24.5,12.7,2,146.5,1,52.4
Scooptram (LHD),Hidráulica de Alta Presión,105.5,31.9,2,0.943,0.608,4,1,2,0.32,0.15,0.0147,1630.7,8.6,2,3,5.1,0.3,3,184.7,0,0.8
Jumbo de Perforación,Hidráulica de Alta Presión,91.9,29.8,3,0.804,0.821,5,0,3,1.27,0.44,0.0174,1375.9,24.7,2,3,2.9,4.9,0,0.0,0,2.7
Shovel / Pala,Electrónica y Control ECM,150.7,44.8,2,0.825,0.805,2,1,3,0.58,0.25,0.0299,802.2,21.1,3,3,0.6,0.7,0,0.0,0,1.3
Scooptram (LHD),Transmisión y Tren de Potencia,85.5,26.7,1,0.86,1.0,5,3,8,2.69,0.74,0.0348,689.4,21.4,2,2,2.5,2.5,0,0.0,0,8.0
Scooptram (LHD),Hidráulica de Alta Presión,90.6,11.4,3,0.94,0.841,2,1,2,0.59,0.12,0.039,615.6,21.9,2,3,9.7,0.6,2,130.1,0,4.5
Jumbo de Perforación,Hidráulica de Alta Presión,85.8,28.4,3,0.977,0.606,2,0,3,1.42,0.66,0.0248,969.0,21.8,2,3,1.4,2.3,3,90.7,0,1.9
Scooptram (LHD),Hidráulica de Alta Presión,161.2,41.3,1,0.774,1.0,10,1,12,2.94,1.17,0.09,266.7,19.0,2,3,4.6,3.5,2,43.7,1,59.5
Compresor Estacionario,Ventilación y Flujo de Aire,92.6,29.4,1,0.86,1.0,5,2,6,2.0,0.43,0.042,571.0,17.1,1,3,11.6,1.5,2,98.6,0,0.9
Perforadora Long Hole,Transmisión y Tren de Potencia,129.2,35.0,1,0.74,1.0,11,0,11,3.55,0.98,0.0667,359.7,14.7,2,2,5.4,11.6,0,0.0,1,58.1
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,219.6,33.0,2,0.932,0.909,1,0,1,0.2,0.06,0.005,1800.0,29.1,3,3,15.9,1.2,0,0.0,0,5.9
Perforadora Long Hole,Hidráulica de Alta Presión,107.2,27.0,1,0.723,1.0,5,1,7,2.44,0.5,0.0242,993.2,14.0,2,3,10.6,3.4,3,156.0,0,1.0
Perforadora Long Hole,Hidráulica de Alta Presión,162.3,19.9,2,0.888,0.813,6,1,20,4.92,0.88,0.0413,580.5,12.9,2,3,1.2,13.4,1,24.4,1,58.4
Scooptram (LHD),Electrónica y Control ECM,197.4,54.1,2,0.794,0.659,5,1,7,1.21,0.31,0.0156,1542.8,18.3,2,3,5.6,1.0,2,119.8,0,1.3
Compresor Estacionario,Hidráulica de Alta Presión,157.6,31.9,1,0.773,1.0,1,0,1,0.21,0.07,0.0205,1169.5,18.5,1,3,14.0,1.0,2,100.9,0,3.8
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,109.4,15.1,2,0.809,0.693,4,2,6,1.37,0.43,0.0371,646.3,22.3,3,3,3.1,5.5,4,87.0,0,11.5
Perforadora Long Hole,Hidráulica de Alta Presión,137.7,47.5,2,0.899,0.875,7,1,6,1.51,0.49,0.0268,895.1,13.5,2,3,1.6,0.7,1,24.1,1,53.8
Compresor Estacionario,Hidráulica de Alta Presión,70.1,22.8,1,0.842,1.0,2,3,7,2.29,0.58,0.0542,442.9,23.7,1,3,2.8,11.4,1,74.1,0,0.0
Jumbo de Perforación,Perforación y Rotación,83.7,27.1,2,0.758,0.769,2,3,4,0.37,0.15,0.03,799.3,13.7,2,2,4.5,3.8,3,58.3,0,0.8
Scooptram (LHD),Ventilación y Flujo de Aire,89.0,26.5,2,0.762,0.839,3,1,2,0.5,0.21,0.0286,839.1,6.5,2,3,6.6,6.1,1,41.3,0,10.4
Scooptram (LHD),Hidráulica de Alta Presión,241.0,65.8,2,0.765,0.84,5,1,17,2.88,1.29,0.09,266.7,25.5,2,3,5.9,10.2,2,100.0,1,99.0
Jumbo de Perforación,Desagüe y Bombeo de Relaves,82.8,21.8,2,0.768,0.842,3,1,4,1.32,0.47,0.0269,891.2,15.1,2,3,1.9,6.6,1,18.2,0,3.8
Perforadora Long Hole,Transmisión y Tren de Potencia,82.3,10.4,1,0.811,1.0,12,1,11,5.36,2.5,0.0209,1146.6,18.4,2,2,12.6,2.7,2,84.7,0,9.1
Perforadora Long Hole,Desagüe y Bombeo de Relaves,76.3,24.8,1,0.65,1.0,5,3,6,1.41,0.28,0.0425,564.7,22.5,2,3,12.3,2.4,0,0.0,0,0.1
Scooptram (LHD),Electrónica y Control ECM,133.8,42.9,3,0.959,0.625,4,1,3,0.5,0.18,0.0259,927.1,21.2,2,3,7.0,1.1,1,22.1,0,0.0
Ventilador Axial Principal,Ventilación y Flujo de Aire,115.6,33.2,2,0.715,0.687,7,3,5,0.62,0.21,0.0371,646.0,10.4,3,3,5.4,1.2,2,88.6,0,0.0
Jumbo de Perforación,Perforación y Rotación,160.9,53.4,1,0.664,1.0,2,1,2,0.29,0.09,0.0313,766.6,7.0,2,2,1.6,1.8,2,59.0,0,6.3
Scooptram (LHD),Hidráulica de Alta Presión,139.1,33.2,2,0.958,0.819,5,3,6,0.87,0.3,0.0427,561.5,17.1,2,3,1.9,2.3,3,116.3,0,3.3
Scooptram (LHD),Electrónica y Control ECM,67.9,14.4,2,0.849,0.8,5,3,6,1.9,0.33,0.0529,453.6,29.4,2,3,2.2,2.0,0,0.0,0,0.4
Jumbo de Perforación,Transmisión y Tren de Potencia,82.9,28.4,1,0.65,1.0,5,3,8,2.45,0.98,0.0218,1099.4,13.9,2,2,11.1,10.6,1,31.3,0,11.3
Faja Transportadora,Hidráulica de Alta Presión,177.4,38.3,3,0.789,0.655,8,2,8,1.4,0.43,0.0233,1030.0,15.6,3,3,5.2,2.4,0,0.0,0,2.9
Jumbo de Perforación,Hidráulica de Alta Presión,102.4,26.7,1,0.763,1.0,6,1,5,1.74,0.76,0.042,571.3,25.8,2,3,17.6,2.2,1,51.6,0,4.7
Ventilador Axial Principal,Hidráulica de Alta Presión,166.7,32.2,2,0.837,0.626,13,1,6,1.24,0.51,0.022,1089.8,18.7,3,3,6.0,9.1,5,89.5,0,2.4
Bomba de Desagüe Multietapa,Electrónica y Control ECM,104.4,27.0,1,0.893,1.0,9,2,5,1.41,0.59,0.0349,687.2,25.6,3,3,5.7,12.2,2,32.0,0,2.0
Jumbo de Perforación,Electrónica y Control ECM,78.4,22.0,1,0.913,1.0,2,0,4,2.42,0.61,0.0657,365.4,24.5,2,3,12.9,4.1,0,0.0,1,36.7
Faja Transportadora,Electrónica y Control ECM,98.9,25.3,2,0.65,0.723,8,1,9,3.45,1.3,0.0803,298.9,21.9,3,3,0.2,3.1,1,44.9,1,45.7
Faja Transportadora,Hidráulica de Alta Presión,78.4,17.9,2,0.965,0.904,3,0,2,1.08,0.47,0.09,266.7,15.6,3,3,3.0,0.3,1,42.3,1,56.1
Jumbo de Perforación,Transmisión y Tren de Potencia,90.2,15.8,2,0.869,0.889,5,1,9,3.58,1.24,0.0861,278.7,13.7,2,2,0.2,0.2,0,0.0,1,22.1
Ventilador Axial Principal,Perforación y Rotación,118.0,30.8,1,0.855,1.0,6,2,9,2.38,0.47,0.0177,1352.0,16.0,3,2,2.0,7.9,0,0.0,1,79.7
Jumbo de Perforación,Transmisión y Tren de Potencia,131.6,43.0,3,0.899,0.879,2,1,2,0.4,0.16,0.0453,530.3,11.4,2,2,16.8,2.9,0,0.0,0,3.2
Jumbo de Perforación,Electrónica y Control ECM,63.0,6.4,1,0.928,1.0,1,0,1,0.31,0.14,0.0206,1162.2,14.7,2,3,1.7,3.7,0,0.0,0,0.6
