MINE_ID,SUBUNIT,EQUIPMENT_TYPE,FAILURE_CAUSE,LOST_HOURS,PARTS_WAIT_HOURS,INSPECTION_YEAR
SUR-03,Drift / Ramp,Mine Fan,Electrical Fault,12.3,43.3,2023
SUR-03,Pump Station,Drill Jumbo,Bearing Seizure,8.4,49.8,2024
ANDINA-02,Shaft / Hoistway,Haulage LHD,Hydraulic Burst,15.4,24.2,2023
TITAN-01,Stope Production Face,Continuous Haulage,Bearing Seizure,14.5,3.9,2025
ANDINA-02,Drift / Ramp,Mine Fan,Hydraulic Burst,7.4,22.5,2024
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,30.8,56.0,2025
ANDINA-02,Shaft / Hoistway,Slurry Pump,Bearing Seizure,21.1,53.4,2023
ANDINA-02,Pump Station,Mine Fan,Power Transmission Failure,34.6,8.4,2023
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,14.4,0.4,2025
ANDINA-02,Stope Production Face,Haulage LHD,Bearing Seizure,13.5,67.1,2025
ANDINA-02,Stope Production Face,Haulage LHD,Hydraulic Burst,19.4,5.4,2023
TITAN-01,Underground Haulageway,Mine Fan,Power Transmission Failure,54.4,4.1,2025
SUR-03,Stope Production Face,Mine Fan,Power Transmission Failure,5.0,0.1,2023
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,43.2,27.2,2025
ANDINA-02,Stope Production Face,Drill Jumbo,Bearing Seizure,15.1,33.6,2023
ANDINA-02,Pump Station,Mine Fan,Bearing Seizure,50.3,48.7,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Bearing Seizure,42.9,16.9,2024
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,14.3,59.5,2023
ANDINA-02,Underground Haulageway,Mine Fan,Electrical Fault,32.4,8.9,2023
SUR-03,Shaft / Hoistway,Haulage LHD,Bearing Seizure,8.2,85.6,2024
SUR-03,Pump Station,Drill Jumbo,Hydraulic Burst,58.4,40.7,2024
ANDINA-02,Underground Haulageway,Drill Jumbo,Power Transmission Failure,16.4,42.1,2025
SUR-03,Drift / Ramp,Haulage LHD,Hydraulic Burst,18.6,11.3,2025
TITAN-01,Shaft / Hoistway,Mine Fan,Hydraulic Burst,33.4,3.7,2023
ANDINA-02,Drift / Ramp,Drill Jumbo,Electrical Fault,45.3,30.0,2025
TITAN-01,Underground Haulageway,Mine Fan,Bearing Seizure,10.5,45.9,2025
TITAN-01,Drift / Ramp,Mine Fan,Power Transmission Failure,30.0,4.8,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Hydraulic Burst,15.9,144.3,2024
SUR-03,Underground Haulageway,Haulage LHD,Bearing Seizure,15.0,188.8,2024
TITAN-01,Pump Station,Mine Fan,Bearing Seizure,32.1,37.8,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Electrical Fault,15.8,143.9,2023
TITAN-01,Drift / Ramp,Haulage LHD,Electrical Fault,14.2,9.5,2023
TITAN-01,Pump Station,Drill Jumbo,Electrical Fault,47.4,1.2,2023
TITAN-01,Drift / Ramp,Continuous Haulage,Power Transmission Failure,6.6,1.9,2023
TITAN-01,Drift / Ramp,Drill Jumbo,Hydraulic Burst,31.0,42.5,2023
SUR-03,Drift / Ramp,Drill Jumbo,Electrical Fault,10.9,3.1,2025
TITAN-01,Stope Production Face,Haulage LHD,Electrical Fault,4.4,152.8,2025
TITAN-01,Pump Station,Drill Jumbo,Electrical Fault,8.4,7.3,2025
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,26.4,17.4,2024
SUR-03,Pump Station,Drill Jumbo,Hydraulic Burst,33.6,83.0,2023
TITAN-01,Shaft / Hoistway,Continuous Haulage,Electrical Fault,4.5,11.8,2023
TITAN-01,Shaft / Hoistway,Continuous Haulage,Electrical Fault,4.9,13.4,2025
SUR-03,Drift / Ramp,Slurry Pump,Bearing Seizure,59.9,49.3,2024
SUR-03,Pump Station,Continuous Haulage,Electrical Fault,5.8,15.5,2025
SUR-03,Pump Station,Drill Jumbo,Power Transmission Failure,57.9,11.8,2023
TITAN-01,Pump Station,Continuous Haulage,Power Transmission Failure,10.2,14.1,2023
SUR-03,Stope Production Face,Haulage LHD,Electrical Fault,36.3,32.4,2025
SUR-03,Shaft / Hoistway,Continuous Haulage,Hydraulic Burst,12.9,162.4,2025
TITAN-01,Pump Station,Mine Fan,Bearing Seizure,51.0,85.7,2023
SUR-03,Pump Station,Haulage LHD,Hydraulic Burst,32.9,16.1,2025
TITAN-01,Stope Production Face,Slurry Pump,Electrical Fault,16.3,21.7,2023
ANDINA-02,Stope Production Face,Mine Fan,Power Transmission Failure,5.9,30.0,2025
SUR-03,Pump Station,Drill Jumbo,Bearing Seizure,35.7,185.3,2024
ANDINA-02,Underground Haulageway,Drill Jumbo,Hydraulic Burst,27.0,9.1,2023
TITAN-01,Pump Station,Drill Jumbo,Hydraulic Burst,4.1,21.2,2024
SUR-03,Pump Station,Mine Fan,Electrical Fault,4.2,62.7,2025
TITAN-01,Stope Production Face,Mine Fan,Bearing Seizure,43.7,159.5,2024
ANDINA-02,Stope Production Face,Mine Fan,Power Transmission Failure,11.2,8.1,2025
TITAN-01,Pump Station,Haulage LHD,Electrical Fault,28.3,12.4,2024
SUR-03,Pump Station,Haulage LHD,Bearing Seizure,18.5,12.3,2024
SUR-03,Pump Station,Drill Jumbo,Hydraulic Burst,51.8,1.0,2024
ANDINA-02,Stope Production Face,Continuous Haulage,Electrical Fault,63.7,44.5,2023
TITAN-01,Pump Station,Drill Jumbo,Hydraulic Burst,141.9,53.3,2024
SUR-03,Pump Station,Slurry Pump,Hydraulic Burst,8.0,44.3,2025
ANDINA-02,Drift / Ramp,Haulage LHD,Electrical Fault,51.7,3.6,2025
SUR-03,Underground Haulageway,Mine Fan,Electrical Fault,11.4,3.4,2023
SUR-03,Shaft / Hoistway,Haulage LHD,Electrical Fault,25.4,11.3,2023
TITAN-01,Underground Haulageway,Mine Fan,Electrical Fault,20.9,16.5,2025
SUR-03,Drift / Ramp,Slurry Pump,Electrical Fault,4.4,74.1,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,68.8,8.3,2025
SUR-03,Pump Station,Haulage LHD,Power Transmission Failure,6.0,2.2,2023
ANDINA-02,Drift / Ramp,Mine Fan,Power Transmission Failure,32.0,24.0,2023
SUR-03,Pump Station,Slurry Pump,Electrical Fault,40.9,25.8,2025
TITAN-01,Stope Production Face,Drill Jumbo,Hydraulic Burst,42.1,28.8,2024
TITAN-01,Drift / Ramp,Drill Jumbo,Power Transmission Failure,7.5,84.2,2024
ANDINA-02,Stope Production Face,Mine Fan,Power Transmission Failure,18.2,5.0,2023
SUR-03,Drift / Ramp,Haulage LHD,Power Transmission Failure,46.4,58.4,2025
SUR-03,Drift / Ramp,Slurry Pump,Hydraulic Burst,12.7,19.8,2025
ANDINA-02,Stope Production Face,Haulage LHD,Electrical Fault,19.1,17.8,2023
SUR-03,Shaft / Hoistway,Drill Jumbo,Electrical Fault,11.6,129.4,2025
SUR-03,Underground Haulageway,Slurry Pump,Electrical Fault,18.9,13.7,2023
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,56.5,49.4,2024
SUR-03,Drift / Ramp,Continuous Haulage,Bearing Seizure,18.6,15.4,2024
SUR-03,Pump Station,Mine Fan,Bearing Seizure,23.5,34.0,2025
ANDINA-02,Stope Production Face,Mine Fan,Hydraulic Burst,16.4,74.1,2024
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,18.8,102.5,2024
TITAN-01,Stope Production Face,Drill Jumbo,Power Transmission Failure,4.4,87.6,2023
SUR-03,Pump Station,Slurry Pump,Hydraulic Burst,12.0,41.9,2023
SUR-03,Underground Haulageway,Mine Fan,Hydraulic Burst,17.8,13.7,2025
SUR-03,Underground Haulageway,Continuous Haulage,Electrical Fault,28.1,52.0,2023
TITAN-01,Underground Haulageway,Continuous Haulage,Electrical Fault,18.4,59.4,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Bearing Seizure,13.9,0.5,2025
ANDINA-02,Underground Haulageway,Drill Jumbo,Bearing Seizure,15.8,27.8,2023
TITAN-01,Underground Haulageway,Haulage LHD,Hydraulic Burst,10.7,89.0,2024
SUR-03,Stope Production Face,Mine Fan,Bearing Seizure,66.0,32.3,2024
SUR-03,Drift / Ramp,Haulage LHD,Power Transmission Failure,21.7,17.9,2024
TITAN-01,Pump Station,Continuous Haulage,Hydraulic Burst,4.3,98.6,2024
SUR-03,Underground Haulageway,Slurry Pump,Hydraulic Burst,4.5,8.1,2025
SUR-03,Stope Production Face,Slurry Pump,Power Transmission Failure,90.7,11.1,2024
TITAN-01,Stope Production Face,Drill Jumbo,Electrical Fault,10.0,55.8,2025
TITAN-01,Stope Production Face,Slurry Pump,Electrical Fault,43.3,20.9,2023
SUR-03,Drift / Ramp,Slurry Pump,Power Transmission Failure,5.4,59.9,2023
SUR-03,Pump Station,Slurry Pump,Power Transmission Failure,65.0,8.2,2025
SUR-03,Drift / Ramp,Continuous Haulage,Bearing Seizure,53.8,14.0,2024
ANDINA-02,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,24.3,8.2,2025
ANDINA-02,Stope Production Face,Slurry Pump,Bearing Seizure,4.2,146.7,2024
ANDINA-02,Shaft / Hoistway,Slurry Pump,Power Transmission Failure,11.2,25.0,2024
TITAN-01,Underground Haulageway,Haulage LHD,Bearing Seizure,16.5,19.7,2025
ANDINA-02,Underground Haulageway,Continuous Haulage,Power Transmission Failure,18.8,0.7,2025
TITAN-01,Drift / Ramp,Drill Jumbo,Bearing Seizure,12.5,8.0,2024
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,4.8,26.2,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Electrical Fault,25.4,3.4,2024
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,21.8,34.3,2025
ANDINA-02,Drift / Ramp,Continuous Haulage,Bearing Seizure,12.0,29.1,2023
SUR-03,Underground Haulageway,Mine Fan,Hydraulic Burst,4.9,70.0,2024
ANDINA-02,Pump Station,Mine Fan,Bearing Seizure,129.3,51.8,2023
SUR-03,Pump Station,Mine Fan,Bearing Seizure,19.8,28.3,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Hydraulic Burst,37.9,12.2,2023
SUR-03,Shaft / Hoistway,Slurry Pump,Power Transmission Failure,18.4,62.3,2025
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,5.1,59.1,2024
TITAN-01,Pump Station,Slurry Pump,Electrical Fault,12.9,8.0,2025
TITAN-01,Shaft / Hoistway,Slurry Pump,Electrical Fault,13.3,118.2,2025
TITAN-01,Shaft / Hoistway,Mine Fan,Hydraulic Burst,47.7,3.2,2024
SUR-03,Underground Haulageway,Drill Jumbo,Bearing Seizure,29.5,2.7,2025
ANDINA-02,Pump Station,Haulage LHD,Power Transmission Failure,11.7,10.0,2024
TITAN-01,Drift / Ramp,Drill Jumbo,Bearing Seizure,86.4,115.3,2025
TITAN-01,Pump Station,Slurry Pump,Electrical Fault,13.3,35.2,2024
TITAN-01,Stope Production Face,Drill Jumbo,Bearing Seizure,156.1,74.4,2023
SUR-03,Drift / Ramp,Mine Fan,Hydraulic Burst,137.5,12.4,2025
SUR-03,Shaft / Hoistway,Haulage LHD,Hydraulic Burst,9.1,32.3,2025
ANDINA-02,Drift / Ramp,Mine Fan,Power Transmission Failure,13.0,21.3,2025
SUR-03,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,20.0,84.4,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Electrical Fault,30.2,1.1,2025
ANDINA-02,Drift / Ramp,Haulage LHD,Power Transmission Failure,22.0,13.4,2024
TITAN-01,Shaft / Hoistway,Haulage LHD,Bearing Seizure,87.7,7.9,2025
TITAN-01,Shaft / Hoistway,Haulage LHD,Hydraulic Burst,34.9,94.1,2023
SUR-03,Stope Production Face,Drill Jumbo,Hydraulic Burst,9.7,30.3,2025
ANDINA-02,Pump Station,Drill Jumbo,Hydraulic Burst,6.7,24.9,2023
SUR-03,Pump Station,Slurry Pump,Power Transmission Failure,32.0,28.7,2024
SUR-03,Stope Production Face,Haulage LHD,Hydraulic Burst,8.1,171.5,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Hydraulic Burst,41.2,91.1,2025
TITAN-01,Underground Haulageway,Slurry Pump,Hydraulic Burst,12.9,58.8,2025
TITAN-01,Underground Haulageway,Haulage LHD,Electrical Fault,13.5,16.5,2024
ANDINA-02,Underground Haulageway,Haulage LHD,Electrical Fault,4.3,8.7,2025
TITAN-01,Stope Production Face,Drill Jumbo,Power Transmission Failure,33.0,122.1,2025
ANDINA-02,Stope Production Face,Slurry Pump,Hydraulic Burst,6.9,26.4,2024
ANDINA-02,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,39.6,15.7,2024
SUR-03,Underground Haulageway,Haulage LHD,Hydraulic Burst,20.2,30.6,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Hydraulic Burst,40.8,120.0,2024
SUR-03,Drift / Ramp,Continuous Haulage,Hydraulic Burst,25.0,23.5,2025
TITAN-01,Underground Haulageway,Slurry Pump,Power Transmission Failure,6.1,39.7,2024
TITAN-01,Underground Haulageway,Slurry Pump,Power Transmission Failure,38.8,78.0,2025
TITAN-01,Underground Haulageway,Continuous Haulage,Hydraulic Burst,5.7,26.7,2023
TITAN-01,Stope Production Face,Slurry Pump,Bearing Seizure,19.6,12.8,2024
SUR-03,Stope Production Face,Haulage LHD,Power Transmission Failure,8.5,250.0,2025
TITAN-01,Stope Production Face,Slurry Pump,Electrical Fault,37.5,150.6,2024
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,62.2,89.0,2024
ANDINA-02,Drift / Ramp,Mine Fan,Hydraulic Burst,23.4,56.0,2024
ANDINA-02,Drift / Ramp,Slurry Pump,Bearing Seizure,22.0,16.8,2024
SUR-03,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,38.7,117.4,2023
TITAN-01,Stope Production Face,Haulage LHD,Electrical Fault,4.1,15.5,2025
TITAN-01,Pump Station,Haulage LHD,Power Transmission Failure,64.0,77.4,2024
TITAN-01,Pump Station,Drill Jumbo,Power Transmission Failure,9.3,120.2,2025
SUR-03,Drift / Ramp,Drill Jumbo,Hydraulic Burst,103.4,44.3,2023
ANDINA-02,Stope Production Face,Slurry Pump,Hydraulic Burst,36.0,78.0,2025
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Electrical Fault,39.7,75.3,2025
TITAN-01,Stope Production Face,Mine Fan,Bearing Seizure,29.6,10.3,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,19.3,52.9,2024
ANDINA-02,Stope Production Face,Drill Jumbo,Bearing Seizure,24.3,4.7,2025
SUR-03,Underground Haulageway,Drill Jumbo,Power Transmission Failure,5.1,34.0,2025
SUR-03,Underground Haulageway,Mine Fan,Bearing Seizure,27.5,8.5,2024
SUR-03,Shaft / Hoistway,Haulage LHD,Bearing Seizure,27.6,25.8,2024
SUR-03,Drift / Ramp,Haulage LHD,Power Transmission Failure,57.2,85.9,2025
TITAN-01,Stope Production Face,Slurry Pump,Power Transmission Failure,20.9,209.1,2023
SUR-03,Underground Haulageway,Mine Fan,Power Transmission Failure,5.9,18.4,2024
ANDINA-02,Stope Production Face,Continuous Haulage,Electrical Fault,12.8,36.4,2024
TITAN-01,Drift / Ramp,Continuous Haulage,Power Transmission Failure,29.6,34.4,2023
ANDINA-02,Drift / Ramp,Mine Fan,Hydraulic Burst,10.6,148.2,2025
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,11.9,31.3,2024
ANDINA-02,Drift / Ramp,Haulage LHD,Power Transmission Failure,45.2,57.6,2025
SUR-03,Shaft / Hoistway,Continuous Haulage,Power Transmission Failure,25.1,122.3,2025
SUR-03,Underground Haulageway,Continuous Haulage,Bearing Seizure,21.0,22.4,2025
TITAN-01,Pump Station,Mine Fan,Electrical Fault,13.2,111.6,2023
TITAN-01,Shaft / Hoistway,Mine Fan,Power Transmission Failure,35.5,119.7,2025
SUR-03,Stope Production Face,Continuous Haulage,Electrical Fault,12.1,128.1,2025
ANDINA-02,Underground Haulageway,Drill Jumbo,Hydraulic Burst,36.1,15.1,2024
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,5.7,24.5,2024
SUR-03,Underground Haulageway,Slurry Pump,Power Transmission Failure,52.0,98.1,2023
SUR-03,Stope Production Face,Slurry Pump,Hydraulic Burst,20.6,21.4,2023
SUR-03,Pump Station,Haulage LHD,Electrical Fault,17.9,44.0,2024
ANDINA-02,Pump Station,Continuous Haulage,Bearing Seizure,26.7,6.0,2024
SUR-03,Pump Station,Drill Jumbo,Power Transmission Failure,27.5,2.8,2023
SUR-03,Drift / Ramp,Haulage LHD,Hydraulic Burst,7.4,25.5,2025
SUR-03,Shaft / Hoistway,Continuous Haulage,Electrical Fault,37.9,41.5,2023
SUR-03,Shaft / Hoistway,Mine Fan,Electrical Fault,11.7,23.9,2025
TITAN-01,Underground Haulageway,Slurry Pump,Hydraulic Burst,60.5,41.4,2024
TITAN-01,Drift / Ramp,Drill Jumbo,Electrical Fault,44.9,34.7,2024
SUR-03,Pump Station,Slurry Pump,Electrical Fault,14.2,55.6,2024
ANDINA-02,Pump Station,Mine Fan,Power Transmission Failure,43.6,50.3,2025
TITAN-01,Stope Production Face,Continuous Haulage,Electrical Fault,14.6,26.5,2023
SUR-03,Stope Production Face,Mine Fan,Hydraulic Burst,6.6,26.6,2025
TITAN-01,Pump Station,Mine Fan,Power Transmission Failure,82.4,7.3,2023
TITAN-01,Pump Station,Slurry Pump,Hydraulic Burst,29.4,34.6,2023
ANDINA-02,Drift / Ramp,Drill Jumbo,Bearing Seizure,18.6,42.5,2023
SUR-03,Shaft / Hoistway,Mine Fan,Hydraulic Burst,16.2,31.1,2024
SUR-03,Stope Production Face,Slurry Pump,Hydraulic Burst,13.4,18.9,2023
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,99.7,61.4,2024
ANDINA-02,Drift / Ramp,Continuous Haulage,Electrical Fault,7.5,3.7,2023
SUR-03,Pump Station,Continuous Haulage,Hydraulic Burst,13.1,118.0,2023
SUR-03,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,19.9,1.0,2024
ANDINA-02,Pump Station,Slurry Pump,Bearing Seizure,19.6,157.4,2024
TITAN-01,Pump Station,Drill Jumbo,Power Transmission Failure,19.3,29.8,2025
TITAN-01,Underground Haulageway,Mine Fan,Power Transmission Failure,8.6,25.5,2023
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Electrical Fault,7.8,14.2,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,11.1,0.5,2025
ANDINA-02,Pump Station,Slurry Pump,Bearing Seizure,63.0,15.4,2025
TITAN-01,Drift / Ramp,Haulage LHD,Power Transmission Failure,6.9,5.6,2024
TITAN-01,Underground Haulageway,Continuous Haulage,Hydraulic Burst,38.0,51.8,2023
SUR-03,Pump Station,Drill Jumbo,Hydraulic Burst,38.0,18.4,2025
SUR-03,Stope Production Face,Drill Jumbo,Power Transmission Failure,43.8,70.0,2023
TITAN-01,Stope Production Face,Drill Jumbo,Hydraulic Burst,56.2,11.1,2023
TITAN-01,Underground Haulageway,Slurry Pump,Power Transmission Failure,11.3,110.6,2025
SUR-03,Drift / Ramp,Slurry Pump,Power Transmission Failure,10.1,35.5,2024
SUR-03,Pump Station,Slurry Pump,Power Transmission Failure,19.0,5.8,2023
SUR-03,Shaft / Hoistway,Mine Fan,Bearing Seizure,11.4,24.6,2024
ANDINA-02,Underground Haulageway,Drill Jumbo,Power Transmission Failure,35.8,11.1,2025
TITAN-01,Drift / Ramp,Continuous Haulage,Electrical Fault,28.3,10.7,2023
SUR-03,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,53.9,33.9,2024
TITAN-01,Stope Production Face,Slurry Pump,Bearing Seizure,6.1,53.5,2024
ANDINA-02,Stope Production Face,Drill Jumbo,Hydraulic Burst,63.2,116.5,2023
ANDINA-02,Shaft / Hoistway,Slurry Pump,Bearing Seizure,12.3,33.5,2024
SUR-03,Underground Haulageway,Mine Fan,Electrical Fault,20.2,162.1,2024
ANDINA-02,Stope Production Face,Mine Fan,Bearing Seizure,17.9,136.4,2025
TITAN-01,Pump Station,Slurry Pump,Bearing Seizure,38.3,96.1,2025
SUR-03,Shaft / Hoistway,Drill Jumbo,Bearing Seizure,17.1,33.3,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,73.0,7.3,2024
TITAN-01,Stope Production Face,Drill Jumbo,Power Transmission Failure,59.9,11.8,2023
ANDINA-02,Underground Haulageway,Haulage LHD,Hydraulic Burst,53.4,50.1,2025
ANDINA-02,Pump Station,Slurry Pump,Power Transmission Failure,5.8,26.3,2023
ANDINA-02,Underground Haulageway,Drill Jumbo,Hydraulic Burst,50.2,7.6,2024
ANDINA-02,Drift / Ramp,Mine Fan,Electrical Fault,40.5,31.3,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Electrical Fault,6.6,0.8,2024
SUR-03,Stope Production Face,Continuous Haulage,Bearing Seizure,6.7,63.5,2025
TITAN-01,Stope Production Face,Drill Jumbo,Electrical Fault,6.6,3.7,2025
TITAN-01,Stope Production Face,Continuous Haulage,Bearing Seizure,4.3,47.6,2024
TITAN-01,Drift / Ramp,Continuous Haulage,Power Transmission Failure,23.1,75.6,2025
TITAN-01,Underground Haulageway,Haulage LHD,Electrical Fault,91.0,6.8,2024
ANDINA-02,Underground Haulageway,Mine Fan,Power Transmission Failure,17.9,35.1,2023
TITAN-01,Stope Production Face,Mine Fan,Hydraulic Burst,22.7,72.5,2024
SUR-03,Pump Station,Haulage LHD,Power Transmission Failure,86.6,14.5,2023
SUR-03,Underground Haulageway,Haulage LHD,Hydraulic Burst,11.1,8.5,2024
TITAN-01,Drift / Ramp,Continuous Haulage,Power Transmission Failure,50.9,19.7,2025
TITAN-01,Shaft / Hoistway,Slurry Pump,Power Transmission Failure,23.0,38.8,2024
SUR-03,Shaft / Hoistway,Continuous Haulage,Electrical Fault,24.2,41.1,2024
SUR-03,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,14.1,6.7,2024
ANDINA-02,Pump Station,Mine Fan,Electrical Fault,23.8,29.4,2025
SUR-03,Stope Production Face,Continuous Haulage,Electrical Fault,5.8,15.0,2024
